,phage,host
4191,nc 012757,vibrio cholerae
4192,nc 015157,vibrio cholerae
4193,nc 015158,vibrio cholerae
4194,nc 015159,vibrio cholerae
4195,nc 015209,vibrio cholerae
4196,nc 016162,vibrio cholerae
4197,nc 019457,vibrio cholerae
4198,nc 019518,vibrio cholerae
4199,nc 021540,vibrio cholerae
4200,nc 021562,vibrio cholerae
4201,nc 022747,vibrio cholerae
4202,nc 024369,vibrio cholerae
4203,nc 024791,vibrio cholerae
4204,nc 027118,vibrio cholerae
4205,nc 027393,vibrio cholerae
4206,nc 027397,vibrio cholerae
4207,nc 028799,vibrio cholerae
4208,nc 028895,vibrio cholerae
4209,nc 042074,vibrio cholerae
4210,mg592392.1,vibrio cyclitrophicus
4211,mg592393.1,vibrio cyclitrophicus
4212,mg592394.1,vibrio cyclitrophicus
4213,mg592395.1,vibrio cyclitrophicus
4214,mg592396.1,vibrio cyclitrophicus
4215,mg592397.1,vibrio cyclitrophicus
4216,mg592398.1,vibrio cyclitrophicus
4217,mg592401.1,vibrio cyclitrophicus
4218,mg592403.1,vibrio cyclitrophicus
4219,mg592406.1,vibrio cyclitrophicus
4220,mg592411.1,vibrio cyclitrophicus
4221,mg592414.1,vibrio cyclitrophicus
4222,mg592416.1,vibrio cyclitrophicus
4223,mg592421.1,vibrio cyclitrophicus
4224,mg592424.1,vibrio cyclitrophicus
4225,mg592425.1,vibrio cyclitrophicus
4226,mg592426.1,vibrio cyclitrophicus
4227,mg592427.1,vibrio cyclitrophicus
4228,mg592429.1,vibrio cyclitrophicus
4229,mg592430.1,vibrio cyclitrophicus
4230,mg592434.1,vibrio cyclitrophicus
4231,mg592437.1,vibrio cyclitrophicus
4232,mg592439.1,vibrio cyclitrophicus
4233,mg592440.1,vibrio cyclitrophicus
4234,mg592444.1,vibrio cyclitrophicus
4235,mg592446.1,vibrio cyclitrophicus
4236,mg592449.1,vibrio cyclitrophicus
4237,mg592451.1,vibrio cyclitrophicus
4238,mg592452.1,vibrio cyclitrophicus
4239,mg592455.1,vibrio cyclitrophicus
4240,mg592456.1,vibrio cyclitrophicus
4241,mg592459.1,vibrio cyclitrophicus
4242,mg592460.1,vibrio cyclitrophicus
4243,mg592461.1,vibrio cyclitrophicus
4244,mg592462.1,vibrio cyclitrophicus
4245,mg592464.1,vibrio cyclitrophicus
4246,mg592466.1,vibrio cyclitrophicus
4247,mg592469.1,vibrio cyclitrophicus
4248,mg592470.1,vibrio cyclitrophicus
4249,mg592473.1,vibrio cyclitrophicus
4250,mg592474.1,vibrio cyclitrophicus
4251,mg592480.1,vibrio cyclitrophicus
4252,mg592482.1,vibrio cyclitrophicus
4253,mg592484.1,vibrio cyclitrophicus
4254,mg592486.1,vibrio cyclitrophicus
4255,mg592488.1,vibrio cyclitrophicus
4256,mg592496.1,vibrio cyclitrophicus
4257,mg592498.1,vibrio cyclitrophicus
4258,mg592500.1,vibrio cyclitrophicus
4259,mg592501.1,vibrio cyclitrophicus
4260,mg592508.1,vibrio cyclitrophicus
4261,mg592511.1,vibrio cyclitrophicus
4262,mg592512.1,vibrio cyclitrophicus
4263,mg592517.1,vibrio cyclitrophicus
4264,mg592518.1,vibrio cyclitrophicus
4265,mg592520.1,vibrio cyclitrophicus
4266,mg592521.1,vibrio cyclitrophicus
4267,mg592522.1,vibrio cyclitrophicus
4268,mg592526.1,vibrio cyclitrophicus
4269,mg592527.1,vibrio cyclitrophicus
4270,mg592529.1,vibrio cyclitrophicus
4271,mg592531.1,vibrio cyclitrophicus
4272,mg592532.1,vibrio cyclitrophicus
4273,mg592533.1,vibrio cyclitrophicus
4274,mg592534.1,vibrio cyclitrophicus
4275,mg592537.1,vibrio cyclitrophicus
4276,mg592540.1,vibrio cyclitrophicus
4277,mg592543.1,vibrio cyclitrophicus
4278,mg592544.1,vibrio cyclitrophicus
4279,mg592546.1,vibrio cyclitrophicus
4280,mg592548.1,vibrio cyclitrophicus
4281,mg592550.1,vibrio cyclitrophicus
4282,mg592551.1,vibrio cyclitrophicus
4283,mg592552.1,vibrio cyclitrophicus
4284,mg592562.1,vibrio cyclitrophicus
4285,mg592563.1,vibrio cyclitrophicus
4286,mg592566.1,vibrio cyclitrophicus
4287,mg592567.1,vibrio cyclitrophicus
4288,mg592569.1,vibrio cyclitrophicus
4289,mg592572.1,vibrio cyclitrophicus
4290,mg592573.1,vibrio cyclitrophicus
4291,mg592574.1,vibrio cyclitrophicus
4292,mg592576.1,vibrio cyclitrophicus
4293,mg592580.1,vibrio cyclitrophicus
4294,mg592581.1,vibrio cyclitrophicus
4295,mg592584.1,vibrio cyclitrophicus
4296,mg592585.1,vibrio cyclitrophicus
4297,mg592587.1,vibrio cyclitrophicus
4298,mg592588.1,vibrio cyclitrophicus
4299,mg592590.1,vibrio cyclitrophicus
4300,mg592597.1,vibrio cyclitrophicus
4301,mg592599.1,vibrio cyclitrophicus
4302,mg592600.1,vibrio cyclitrophicus
4303,mg592606.1,vibrio cyclitrophicus
4304,mg592607.1,vibrio cyclitrophicus
4305,mg592608.1,vibrio cyclitrophicus
4306,mg592610.1,vibrio cyclitrophicus
4307,mg592614.1,vibrio cyclitrophicus
4308,mg592615.1,vibrio cyclitrophicus
4309,mg592617.1,vibrio cyclitrophicus
4310,mg592619.1,vibrio cyclitrophicus
4311,mg592621.1,vibrio cyclitrophicus
4312,mg592622.1,vibrio cyclitrophicus
4313,mg592627.1,vibrio cyclitrophicus
4314,mg592629.1,vibrio cyclitrophicus
4315,mg592630.1,vibrio cyclitrophicus
4316,mg592631.1,vibrio cyclitrophicus
4317,mg592633.1,vibrio cyclitrophicus
4318,mg592641.1,vibrio cyclitrophicus
4319,mg592642.1,vibrio cyclitrophicus
4320,mg592643.1,vibrio cyclitrophicus
4321,mg592644.1,vibrio cyclitrophicus
4322,mg592645.1,vibrio cyclitrophicus
4323,mg592647.1,vibrio cyclitrophicus
4324,mg592654.1,vibrio cyclitrophicus
4325,mg592655.1,vibrio cyclitrophicus
4326,mg592656.1,vibrio cyclitrophicus
4327,mg592657.1,vibrio cyclitrophicus
4328,mg592658.1,vibrio cyclitrophicus
4329,mg592659.1,vibrio cyclitrophicus
4330,mg592660.1,vibrio cyclitrophicus
4331,mg592663.1,vibrio cyclitrophicus
4332,mg592665.1,vibrio cyclitrophicus
4333,mg592671.1,vibrio cyclitrophicus
4334,mg592672.1,vibrio cyclitrophicus
4335,nc 016073,vibrio fischeri
4336,nc 021068,vibrio fischeri
4337,nc 029102,vibrio fischeri
4338,nc 004456,vibrio harveyi
4339,nc 023568,vibrio harveyi
4340,nc 042094,vibrio harveyi
4341,nc 042095,vibrio harveyi
4342,nc 042136,vibrio harveyi
4343,mg592396.1,vibrio kanaloae
4344,mg592397.1,vibrio kanaloae
4345,mg592398.1,vibrio kanaloae
4346,mg592401.1,vibrio kanaloae
4347,mg592402.1,vibrio kanaloae
4348,mg592403.1,vibrio kanaloae
4349,mg592408.1,vibrio kanaloae
4350,mg592409.1,vibrio kanaloae
4351,mg592410.1,vibrio kanaloae
4352,mg592411.1,vibrio kanaloae
4353,mg592413.1,vibrio kanaloae
4354,mg592417.1,vibrio kanaloae
4355,mg592420.1,vibrio kanaloae
4356,mg592423.1,vibrio kanaloae
4357,mg592424.1,vibrio kanaloae
4358,mg592426.1,vibrio kanaloae
4359,mg592427.1,vibrio kanaloae
4360,mg592428.1,vibrio kanaloae
4361,mg592436.1,vibrio kanaloae
4362,mg592438.1,vibrio kanaloae
4363,mg592441.1,vibrio kanaloae
4364,mg592444.1,vibrio kanaloae
4365,mg592447.1,vibrio kanaloae
4366,mg592448.1,vibrio kanaloae
4367,mg592450.1,vibrio kanaloae
4368,mg592455.1,vibrio kanaloae
4369,mg592458.1,vibrio kanaloae
4370,mg592462.1,vibrio kanaloae
4371,mg592463.1,vibrio kanaloae
4372,mg592467.1,vibrio kanaloae
4373,mg592472.1,vibrio kanaloae
4374,mg592478.1,vibrio kanaloae
4375,mg592480.1,vibrio kanaloae
4376,mg592483.1,vibrio kanaloae
4377,mg592484.1,vibrio kanaloae
4378,mg592487.1,vibrio kanaloae
4379,mg592490.1,vibrio kanaloae
4380,mg592494.1,vibrio kanaloae
4381,mg592498.1,vibrio kanaloae
4382,mg592502.1,vibrio kanaloae
4383,mg592504.1,vibrio kanaloae
4384,mg592509.1,vibrio kanaloae
4385,mg592511.1,vibrio kanaloae
4386,mg592512.1,vibrio kanaloae
4387,mg592513.1,vibrio kanaloae
4388,mg592515.1,vibrio kanaloae
4389,mg592516.1,vibrio kanaloae
4390,mg592519.1,vibrio kanaloae
4391,mg592523.1,vibrio kanaloae
4392,mg592525.1,vibrio kanaloae
4393,mg592528.1,vibrio kanaloae
4394,mg592533.1,vibrio kanaloae
4395,mg592534.1,vibrio kanaloae
4396,mg592535.1,vibrio kanaloae
4397,mg592538.1,vibrio kanaloae
4398,mg592540.1,vibrio kanaloae
4399,mg592541.1,vibrio kanaloae
4400,mg592545.1,vibrio kanaloae
4401,mg592547.1,vibrio kanaloae
4402,mg592549.1,vibrio kanaloae
4403,mg592552.1,vibrio kanaloae
4404,mg592564.1,vibrio kanaloae
4405,mg592567.1,vibrio kanaloae
4406,mg592572.1,vibrio kanaloae
4407,mg592579.1,vibrio kanaloae
4408,mg592581.1,vibrio kanaloae
4409,mg592583.1,vibrio kanaloae
4410,mg592585.1,vibrio kanaloae
4411,mg592588.1,vibrio kanaloae
4412,mg592593.1,vibrio kanaloae
4413,mg592596.1,vibrio kanaloae
4414,mg592600.1,vibrio kanaloae
4415,mg592601.1,vibrio kanaloae
4416,mg592612.1,vibrio kanaloae
4417,mg592617.1,vibrio kanaloae
4418,mg592618.1,vibrio kanaloae
4419,mg592620.1,vibrio kanaloae
4420,mg592622.1,vibrio kanaloae
4421,mg592627.1,vibrio kanaloae
4422,mg592630.1,vibrio kanaloae
4423,mg592632.1,vibrio kanaloae
4424,mg592633.1,vibrio kanaloae
4425,mg592636.1,vibrio kanaloae
4426,mg592638.1,vibrio kanaloae
4427,mg592647.1,vibrio kanaloae
4428,mg592654.1,vibrio kanaloae
4429,mg592657.1,vibrio kanaloae
4430,mg592658.1,vibrio kanaloae
4431,mg592661.1,vibrio kanaloae
4432,mg592663.1,vibrio kanaloae
4433,mg592665.1,vibrio kanaloae
4434,mg592666.1,vibrio kanaloae
4435,mg592667.1,vibrio kanaloae
4436,mg592390.1,vibrio lentus
4437,mg592391.1,vibrio lentus
4438,mg592393.1,vibrio lentus
4439,mg592394.1,vibrio lentus
4440,mg592395.1,vibrio lentus
4441,mg592396.1,vibrio lentus
4442,mg592397.1,vibrio lentus
4443,mg592399.1,vibrio lentus
4444,mg592400.1,vibrio lentus
4445,mg592402.1,vibrio lentus
4446,mg592403.1,vibrio lentus
4447,mg592407.1,vibrio lentus
4448,mg592408.1,vibrio lentus
4449,mg592409.1,vibrio lentus
4450,mg592410.1,vibrio lentus
4451,mg592411.1,vibrio lentus
4452,mg592412.1,vibrio lentus
4453,mg592415.1,vibrio lentus
4454,mg592417.1,vibrio lentus
4455,mg592420.1,vibrio lentus
4456,mg592421.1,vibrio lentus
4457,mg592422.1,vibrio lentus
4458,mg592423.1,vibrio lentus
4459,mg592424.1,vibrio lentus
4460,mg592425.1,vibrio lentus
4461,mg592426.1,vibrio lentus
4462,mg592427.1,vibrio lentus
4463,mg592429.1,vibrio lentus
4464,mg592430.1,vibrio lentus
4465,mg592433.1,vibrio lentus
4466,mg592436.1,vibrio lentus
4467,mg592437.1,vibrio lentus
4468,mg592438.1,vibrio lentus
4469,mg592439.1,vibrio lentus
4470,mg592440.1,vibrio lentus
4471,mg592441.1,vibrio lentus
4472,mg592443.1,vibrio lentus
4473,mg592444.1,vibrio lentus
4474,mg592445.1,vibrio lentus
4475,mg592446.1,vibrio lentus
4476,mg592448.1,vibrio lentus
4477,mg592449.1,vibrio lentus
4478,mg592454.1,vibrio lentus
4479,mg592455.1,vibrio lentus
4480,mg592456.1,vibrio lentus
4481,mg592457.1,vibrio lentus
4482,mg592460.1,vibrio lentus
4483,mg592462.1,vibrio lentus
4484,mg592463.1,vibrio lentus
4485,mg592464.1,vibrio lentus
4486,mg592465.1,vibrio lentus
4487,mg592466.1,vibrio lentus
4488,mg592469.1,vibrio lentus
4489,mg592471.1,vibrio lentus
4490,mg592472.1,vibrio lentus
4491,mg592473.1,vibrio lentus
4492,mg592474.1,vibrio lentus
4493,mg592476.1,vibrio lentus
4494,mg592477.1,vibrio lentus
4495,mg592478.1,vibrio lentus
4496,mg592480.1,vibrio lentus
4497,mg592484.1,vibrio lentus
4498,mg592486.1,vibrio lentus
4499,mg592488.1,vibrio lentus
4500,mg592492.1,vibrio lentus
4501,mg592494.1,vibrio lentus
4502,mg592498.1,vibrio lentus
4503,mg592500.1,vibrio lentus
4504,mg592501.1,vibrio lentus
4505,mg592504.1,vibrio lentus
4506,mg592506.1,vibrio lentus
4507,mg592508.1,vibrio lentus
4508,mg592509.1,vibrio lentus
4509,mg592511.1,vibrio lentus
4510,mg592512.1,vibrio lentus
4511,mg592514.1,vibrio lentus
4512,mg592519.1,vibrio lentus
4513,mg592521.1,vibrio lentus
4514,mg592524.1,vibrio lentus
4515,mg592526.1,vibrio lentus
4516,mg592528.1,vibrio lentus
4517,mg592529.1,vibrio lentus
4518,mg592532.1,vibrio lentus
4519,mg592533.1,vibrio lentus
4520,mg592534.1,vibrio lentus
4521,mg592536.1,vibrio lentus
4522,mg592538.1,vibrio lentus
4523,mg592541.1,vibrio lentus
4524,mg592542.1,vibrio lentus
4525,mg592543.1,vibrio lentus
4526,mg592548.1,vibrio lentus
4527,mg592549.1,vibrio lentus
4528,mg592560.1,vibrio lentus
4529,mg592562.1,vibrio lentus
4530,mg592563.1,vibrio lentus
4531,mg592564.1,vibrio lentus
4532,mg592565.1,vibrio lentus
4533,mg592566.1,vibrio lentus
4534,mg592567.1,vibrio lentus
4535,mg592571.1,vibrio lentus
4536,mg592573.1,vibrio lentus
4537,mg592576.1,vibrio lentus
4538,mg592578.1,vibrio lentus
4539,mg592584.1,vibrio lentus
4540,mg592585.1,vibrio lentus
4541,mg592588.1,vibrio lentus
4542,mg592590.1,vibrio lentus
4543,mg592595.1,vibrio lentus
4544,mg592601.1,vibrio lentus
4545,mg592603.1,vibrio lentus
4546,mg592605.1,vibrio lentus
4547,mg592607.1,vibrio lentus
4548,mg592611.1,vibrio lentus
4549,mg592612.1,vibrio lentus
4550,mg592618.1,vibrio lentus
4551,mg592619.1,vibrio lentus
4552,mg592620.1,vibrio lentus
4553,mg592621.1,vibrio lentus
4554,mg592622.1,vibrio lentus
4555,mg592629.1,vibrio lentus
4556,mg592631.1,vibrio lentus
4557,mg592632.1,vibrio lentus
4558,mg592633.1,vibrio lentus
4559,mg592635.1,vibrio lentus
4560,mg592636.1,vibrio lentus
4561,mg592638.1,vibrio lentus
4562,mg592640.1,vibrio lentus
4563,mg592642.1,vibrio lentus
4564,mg592643.1,vibrio lentus
4565,mg592645.1,vibrio lentus
4566,mg592648.1,vibrio lentus
4567,mg592649.1,vibrio lentus
4568,mg592650.1,vibrio lentus
4569,mg592651.1,vibrio lentus
4570,mg592654.1,vibrio lentus
4571,mg592655.1,vibrio lentus
4572,mg592660.1,vibrio lentus
4573,mg592661.1,vibrio lentus
4574,mg592663.1,vibrio lentus
4575,mg592665.1,vibrio lentus
4576,mg592666.1,vibrio lentus
4577,mg592667.1,vibrio lentus
4578,mg592671.1,vibrio lentus
4579,mg592672.1,vibrio lentus
4580,nc 021562,vibrio metschnikovii
4581,nc 021562,vibrio mimicus
4582,nc 020863,vibrio natriegens
4583,nc 021529,vibrio natriegens
4584,mg592390.1,vibrio parahaemolyticus
4585,mg592393.1,vibrio parahaemolyticus
4586,mg592398.1,vibrio parahaemolyticus
4587,mg592399.1,vibrio parahaemolyticus
4588,mg592400.1,vibrio parahaemolyticus
4589,mg592403.1,vibrio parahaemolyticus
4590,mg592407.1,vibrio parahaemolyticus
4591,mg592411.1,vibrio parahaemolyticus
4592,mg592412.1,vibrio parahaemolyticus
4593,mg592417.1,vibrio parahaemolyticus
4594,mg592420.1,vibrio parahaemolyticus
4595,mg592423.1,vibrio parahaemolyticus
4596,mg592424.1,vibrio parahaemolyticus
4597,mg592426.1,vibrio parahaemolyticus
4598,mg592430.1,vibrio parahaemolyticus
4599,mg592435.1,vibrio parahaemolyticus
4600,mg592438.1,vibrio parahaemolyticus
4601,mg592439.1,vibrio parahaemolyticus
4602,mg592441.1,vibrio parahaemolyticus
4603,mg592442.1,vibrio parahaemolyticus
4604,mg592445.1,vibrio parahaemolyticus
4605,mg592446.1,vibrio parahaemolyticus
4606,mg592447.1,vibrio parahaemolyticus
4607,mg592450.1,vibrio parahaemolyticus
4608,mg592452.1,vibrio parahaemolyticus
4609,mg592457.1,vibrio parahaemolyticus
4610,mg592458.1,vibrio parahaemolyticus
4611,mg592463.1,vibrio parahaemolyticus
4612,mg592466.1,vibrio parahaemolyticus
4613,mg592468.1,vibrio parahaemolyticus
4614,mg592469.1,vibrio parahaemolyticus
4615,mg592474.1,vibrio parahaemolyticus
4616,mg592478.1,vibrio parahaemolyticus
4617,mg592484.1,vibrio parahaemolyticus
4618,mg592486.1,vibrio parahaemolyticus
4619,mg592487.1,vibrio parahaemolyticus
4620,mg592494.1,vibrio parahaemolyticus
4621,mg592500.1,vibrio parahaemolyticus
4622,mg592502.1,vibrio parahaemolyticus
4623,mg592504.1,vibrio parahaemolyticus
4624,mg592509.1,vibrio parahaemolyticus
4625,mg592513.1,vibrio parahaemolyticus
4626,mg592521.1,vibrio parahaemolyticus
4627,mg592522.1,vibrio parahaemolyticus
4628,mg592524.1,vibrio parahaemolyticus
4629,mg592531.1,vibrio parahaemolyticus
4630,mg592533.1,vibrio parahaemolyticus
4631,mg592538.1,vibrio parahaemolyticus
4632,mg592540.1,vibrio parahaemolyticus
4633,mg592542.1,vibrio parahaemolyticus
4634,mg592543.1,vibrio parahaemolyticus
4635,mg592544.1,vibrio parahaemolyticus
4636,mg592545.1,vibrio parahaemolyticus
4637,mg592547.1,vibrio parahaemolyticus
4638,mg592551.1,vibrio parahaemolyticus
4639,mg592552.1,vibrio parahaemolyticus
4640,mg592553.1,vibrio parahaemolyticus
4641,mg592560.1,vibrio parahaemolyticus
4642,mg592566.1,vibrio parahaemolyticus
4643,mg592569.1,vibrio parahaemolyticus
4644,mg592577.1,vibrio parahaemolyticus
4645,mg592581.1,vibrio parahaemolyticus
4646,mg592584.1,vibrio parahaemolyticus
4647,mg592587.1,vibrio parahaemolyticus
4648,mg592592.1,vibrio parahaemolyticus
4649,mg592594.1,vibrio parahaemolyticus
4650,mg592597.1,vibrio parahaemolyticus
4651,mg592599.1,vibrio parahaemolyticus
4652,mg592600.1,vibrio parahaemolyticus
4653,mg592603.1,vibrio parahaemolyticus
4654,mg592605.1,vibrio parahaemolyticus
4655,mg592609.1,vibrio parahaemolyticus
4656,mg592611.1,vibrio parahaemolyticus
4657,mg592618.1,vibrio parahaemolyticus
4658,mg592629.1,vibrio parahaemolyticus
4659,mg592633.1,vibrio parahaemolyticus
4660,mg592635.1,vibrio parahaemolyticus
4661,mg592640.1,vibrio parahaemolyticus
4662,mg592641.1,vibrio parahaemolyticus
4663,mg592643.1,vibrio parahaemolyticus
4664,mg592645.1,vibrio parahaemolyticus
4665,mg592647.1,vibrio parahaemolyticus
4666,mg592651.1,vibrio parahaemolyticus
4667,mg592655.1,vibrio parahaemolyticus
4668,mg592659.1,vibrio parahaemolyticus
4669,mg592660.1,vibrio parahaemolyticus
4670,mg592667.1,vibrio parahaemolyticus
4671,mg592671.1,vibrio parahaemolyticus
4672,mg592672.1,vibrio parahaemolyticus
4673,nc 002362,vibrio parahaemolyticus
4674,nc 002363,vibrio parahaemolyticus
4675,nc 003907,vibrio parahaemolyticus
4676,nc 005083,vibrio parahaemolyticus
4677,nc 005948,vibrio parahaemolyticus
4678,nc 009016,vibrio parahaemolyticus
4679,nc 012662,vibrio parahaemolyticus
4680,nc 019529,vibrio parahaemolyticus
4681,nc 019713,vibrio parahaemolyticus
4682,nc 019722,vibrio parahaemolyticus
4683,nc 020848,vibrio parahaemolyticus
4684,nc 020850,vibrio parahaemolyticus
4685,nc 020868,vibrio parahaemolyticus
4686,nc 021776,vibrio parahaemolyticus
4687,nc 023569,vibrio parahaemolyticus
4688,nc 026607,vibrio parahaemolyticus
4689,nc 026610,vibrio parahaemolyticus
4690,nc 027981,vibrio parahaemolyticus
4691,nc 028695,vibrio parahaemolyticus
4692,nc 029033,vibrio parahaemolyticus
4693,nc 029057,vibrio parahaemolyticus
4694,mg592392.1,vibrio sp. 10n.1
4695,mg592400.1,vibrio sp. 10n.1
4696,mg592401.1,vibrio sp. 10n.1
4697,mg592402.1,vibrio sp. 10n.1
4698,mg592403.1,vibrio sp. 10n.1
4699,mg592406.1,vibrio sp. 10n.1
4700,mg592412.1,vibrio sp. 10n.1
4701,mg592414.1,vibrio sp. 10n.1
4702,mg592421.1,vibrio sp. 10n.1
4703,mg592424.1,vibrio sp. 10n.1
4704,mg592425.1,vibrio sp. 10n.1
4705,mg592427.1,vibrio sp. 10n.1
4706,mg592428.1,vibrio sp. 10n.1
4707,mg592431.1,vibrio sp. 10n.1
4708,mg592433.1,vibrio sp. 10n.1
4709,mg592436.1,vibrio sp. 10n.1
4710,mg592440.1,vibrio sp. 10n.1
4711,mg592443.1,vibrio sp. 10n.1
4712,mg592446.1,vibrio sp. 10n.1
4713,mg592451.1,vibrio sp. 10n.1
4714,mg592456.1,vibrio sp. 10n.1
4715,mg592459.1,vibrio sp. 10n.1
4716,mg592460.1,vibrio sp. 10n.1
4717,mg592461.1,vibrio sp. 10n.1
4718,mg592466.1,vibrio sp. 10n.1
4719,mg592469.1,vibrio sp. 10n.1
4720,mg592470.1,vibrio sp. 10n.1
4721,mg592474.1,vibrio sp. 10n.1
4722,mg592477.1,vibrio sp. 10n.1
4723,mg592482.1,vibrio sp. 10n.1
4724,mg592483.1,vibrio sp. 10n.1
4725,mg592484.1,vibrio sp. 10n.1
4726,mg592494.1,vibrio sp. 10n.1
4727,mg592502.1,vibrio sp. 10n.1
4728,mg592504.1,vibrio sp. 10n.1
4729,mg592507.1,vibrio sp. 10n.1
4730,mg592508.1,vibrio sp. 10n.1
4731,mg592511.1,vibrio sp. 10n.1
4732,mg592513.1,vibrio sp. 10n.1
4733,mg592514.1,vibrio sp. 10n.1
4734,mg592524.1,vibrio sp. 10n.1
4735,mg592527.1,vibrio sp. 10n.1
4736,mg592528.1,vibrio sp. 10n.1
4737,mg592537.1,vibrio sp. 10n.1
4738,mg592539.1,vibrio sp. 10n.1
4739,mg592540.1,vibrio sp. 10n.1
4740,mg592542.1,vibrio sp. 10n.1
4741,mg592548.1,vibrio sp. 10n.1
4742,mg592549.1,vibrio sp. 10n.1
4743,mg592552.1,vibrio sp. 10n.1
4744,mg592561.1,vibrio sp. 10n.1
4745,mg592563.1,vibrio sp. 10n.1
4746,mg592564.1,vibrio sp. 10n.1
4747,mg592572.1,vibrio sp. 10n.1
4748,mg592574.1,vibrio sp. 10n.1
4749,mg592576.1,vibrio sp. 10n.1
4750,mg592577.1,vibrio sp. 10n.1
4751,mg592585.1,vibrio sp. 10n.1
4752,mg592587.1,vibrio sp. 10n.1
4753,mg592588.1,vibrio sp. 10n.1
4754,mg592589.1,vibrio sp. 10n.1
4755,mg592592.1,vibrio sp. 10n.1
4756,mg592593.1,vibrio sp. 10n.1
4757,mg592597.1,vibrio sp. 10n.1
4758,mg592599.1,vibrio sp. 10n.1
4759,mg592600.1,vibrio sp. 10n.1
4760,mg592606.1,vibrio sp. 10n.1
4761,mg592617.1,vibrio sp. 10n.1
4762,mg592619.1,vibrio sp. 10n.1
4763,mg592622.1,vibrio sp. 10n.1
4764,mg592625.1,vibrio sp. 10n.1
4765,mg592627.1,vibrio sp. 10n.1
4766,mg592629.1,vibrio sp. 10n.1
4767,mg592632.1,vibrio sp. 10n.1
4768,mg592633.1,vibrio sp. 10n.1
4769,mg592635.1,vibrio sp. 10n.1
4770,mg592638.1,vibrio sp. 10n.1
4771,mg592640.1,vibrio sp. 10n.1
4772,mg592643.1,vibrio sp. 10n.1
4773,mg592645.1,vibrio sp. 10n.1
4774,mg592648.1,vibrio sp. 10n.1
4775,mg592650.1,vibrio sp. 10n.1
4776,mg592651.1,vibrio sp. 10n.1
4777,mg592655.1,vibrio sp. 10n.1
4778,mg592656.1,vibrio sp. 10n.1
4779,mg592657.1,vibrio sp. 10n.1
4780,mg592659.1,vibrio sp. 10n.1
4781,mg592660.1,vibrio sp. 10n.1
4782,mg592666.1,vibrio sp. 10n.1
4783,mg592667.1,vibrio sp. 10n.1
4784,mg592671.1,vibrio sp. 10n.1
4785,mg592394.1,vibrio sp. 10n.2
4786,mg592395.1,vibrio sp. 10n.2
4787,mg592400.1,vibrio sp. 10n.2
4788,mg592401.1,vibrio sp. 10n.2
4789,mg592403.1,vibrio sp. 10n.2
4790,mg592406.1,vibrio sp. 10n.2
4791,mg592407.1,vibrio sp. 10n.2
4792,mg592413.1,vibrio sp. 10n.2
4793,mg592414.1,vibrio sp. 10n.2
4794,mg592415.1,vibrio sp. 10n.2
4795,mg592417.1,vibrio sp. 10n.2
4796,mg592418.1,vibrio sp. 10n.2
4797,mg592421.1,vibrio sp. 10n.2
4798,mg592425.1,vibrio sp. 10n.2
4799,mg592428.1,vibrio sp. 10n.2
4800,mg592429.1,vibrio sp. 10n.2
4801,mg592430.1,vibrio sp. 10n.2
4802,mg592431.1,vibrio sp. 10n.2
4803,mg592434.1,vibrio sp. 10n.2
4804,mg592435.1,vibrio sp. 10n.2
4805,mg592441.1,vibrio sp. 10n.2
4806,mg592445.1,vibrio sp. 10n.2
4807,mg592449.1,vibrio sp. 10n.2
4808,mg592451.1,vibrio sp. 10n.2
4809,mg592452.1,vibrio sp. 10n.2
4810,mg592458.1,vibrio sp. 10n.2
4811,mg592459.1,vibrio sp. 10n.2
4812,mg592460.1,vibrio sp. 10n.2
4813,mg592463.1,vibrio sp. 10n.2
4814,mg592464.1,vibrio sp. 10n.2
4815,mg592465.1,vibrio sp. 10n.2
4816,mg592471.1,vibrio sp. 10n.2
4817,mg592472.1,vibrio sp. 10n.2
4818,mg592476.1,vibrio sp. 10n.2
4819,mg592477.1,vibrio sp. 10n.2
4820,mg592486.1,vibrio sp. 10n.2
4821,mg592487.1,vibrio sp. 10n.2
4822,mg592490.1,vibrio sp. 10n.2
4823,mg592499.1,vibrio sp. 10n.2
4824,mg592505.1,vibrio sp. 10n.2
4825,mg592507.1,vibrio sp. 10n.2
4826,mg592508.1,vibrio sp. 10n.2
4827,mg592512.1,vibrio sp. 10n.2
4828,mg592513.1,vibrio sp. 10n.2
4829,mg592515.1,vibrio sp. 10n.2
4830,mg592516.1,vibrio sp. 10n.2
4831,mg592517.1,vibrio sp. 10n.2
4832,mg592520.1,vibrio sp. 10n.2
4833,mg592521.1,vibrio sp. 10n.2
4834,mg592523.1,vibrio sp. 10n.2
4835,mg592526.1,vibrio sp. 10n.2
4836,mg592528.1,vibrio sp. 10n.2
4837,mg592532.1,vibrio sp. 10n.2
4838,mg592534.1,vibrio sp. 10n.2
4839,mg592535.1,vibrio sp. 10n.2
4840,mg592537.1,vibrio sp. 10n.2
4841,mg592540.1,vibrio sp. 10n.2
4842,mg592545.1,vibrio sp. 10n.2
4843,mg592546.1,vibrio sp. 10n.2
4844,mg592547.1,vibrio sp. 10n.2
4845,mg592549.1,vibrio sp. 10n.2
4846,mg592550.1,vibrio sp. 10n.2
4847,mg592551.1,vibrio sp. 10n.2
4848,mg592552.1,vibrio sp. 10n.2
4849,mg592553.1,vibrio sp. 10n.2
